Lemma,Priority,Category,Primary_subcategory,Alt_Field,Alt_split
flatface,,openly_discriminating,xenophobia,-,['-']
flathead,,openly_discriminating,xenophobia,-,['-']
flit,,openly_discriminating,homophobia,-,['-']
floozie,,openly_discriminating,sexism,-,['-']
fog-breather,,openly_discriminating,xenophobia,-,['-']
fogbreather,,openly_discriminating,xenophobia,-,['-']
freak,1,openly_discriminating,ableism,-,['-']
fruit,,openly_discriminating,homophobia,-,['-']
fruit-loop,,openly_discriminating,homophobia,-,['-']
fruit-packer,,openly_discriminating,homophobia,-,['-']
fruitloop,,openly_discriminating,homophobia,-,['-']
fruitpacker,,openly_discriminating,homophobia,-,['-']
fucktard,,openly_discriminating,ableism,-,['-']
fudge-packer,,openly_discriminating,homophobia,-,['-']
fudgepacker,,openly_discriminating,homophobia,-,['-']
gaysian,,openly_discriminating,homophobia,-,['-']
gook,,openly_discriminating,racism,-,['-']
greaser,,openly_discriminating,xenophobia,-,['-']
gym-bunny,,openly_discriminating,homophobia,-,['-']
gymbunny,,openly_discriminating,homophobia,-,['-']
hag,,openly_discriminating,sexism,-,['-']
hajji,,openly_discriminating,antimuslim,-,['-']
half-breed,,openly_discriminating,racism,-,['-']
half-caste,,openly_discriminating,racism,-,['-']
halfbreed,,openly_discriminating,racism,-,['-']
halfcaste,,openly_discriminating,racism,-,['-']
haole,,openly_discriminating,racism,-,['-']
harpy,,openly_discriminating,sexism,-,['-']
heeb,,openly_discriminating,antisemitism,-,['-']
hermie,,openly_discriminating,transphobia,-,['-']
herp-derp,,openly_discriminating,ableism,-,['-']
herpderp,,openly_discriminating,ableism,-,['-']
homintern,,openly_discriminating,homophobia,-,['-']
homo,,openly_discriminating,homophobia,-,['-']
hooch-cooch,,openly_discriminating,racism,-,['-']
hoochcooch,,openly_discriminating,racism,-,['-']
hun,,openly_discriminating,xenophobia,-,['-']
hunkie,,openly_discriminating,xenophobia,-,['-']
hymie,,openly_discriminating,antisemitism,-,['-']
inbred,,openly_discriminating,racism,-,['-']
incognegro,,openly_discriminating,racism,-,['-']
indian-giver,,openly_discriminating,racism,-,['-']
indiangiver,,openly_discriminating,racism,-,['-']
injun,,openly_discriminating,racism,-,['-']
jap,,openly_discriminating,racism,-,['-']
japo,,openly_discriminating,racism,-,['-']
jewbie,,openly_discriminating,antisemitism,-,['-']
jewgaboo,,openly_discriminating,antisemitism,-,['-']
kike,,openly_discriminating,antisemitism,-,['-']
kitty-puncher,,openly_discriminating,homophobia,-,['-']
kittypuncher,,openly_discriminating,homophobia,-,['-']
knife-nose,,openly_discriminating,antisemitism,-,['-']
knifenose,,openly_discriminating,antisemitism,-,['-']
leb,,openly_discriminating,homophobia,-,['-']
lebo,,openly_discriminating,xenophobia,-,['-']
les,,openly_discriminating,homophobia,-,['-']
lesbo,,openly_discriminating,homophobia,-,['-']
leso,,openly_discriminating,homophobia,-,['-']
lezzie,,openly_discriminating,homophobia,-,['-']
libtard,,openly_discriminating,ableism,-,['-']
limp-wristed,,openly_discriminating,homophobia,-,['-']
limpwristed,,openly_discriminating,homophobia,-,['-']
muzzie,,openly_discriminating,antimuslim,-,['-']
nigger,21-12-21,openly_discriminating,racism,-,['-']
nip,,openly_discriminating,xenophobia,-,['-']
ogay,,openly_discriminating,homophobia,-,['-']
oklahomo,,openly_discriminating,homophobia,-,['-']
oreo,,openly_discriminating,racism,-,['-']
pak,,openly_discriminating,xenophobia,-,['-']
paki,,openly_discriminating,xenophobia,-,['-']
pakki,,openly_discriminating,xenophobia,-,['-']
peterpuffer,,openly_discriminating,homophobia,-,['-']
poofter,,openly_discriminating,homophobia,-,['-']
pussy-puncher,,openly_discriminating,homophobia,-,['-']
pussypuncher,,openly_discriminating,homophobia,-,['-']
queen,,openly_discriminating,homophobia,-,['-']
redskin,,openly_discriminating,racism,-,['-']
shegetz,,openly_discriminating,xenophobia,-,['-']
shemale,,openly_discriminating,transphobia,-,['-']
shiksa,,openly_discriminating,xenophobia,-,['-']
shrew,,openly_discriminating,sexism,-,['-']
shylock,,openly_discriminating,antisemitism,-,['-']
sissy,,openly_discriminating,homophobia,-,['-']
slant-eye,,openly_discriminating,racism,-,['-']
slanteye,,openly_discriminating,racism,-,['-']
slut,,openly_discriminating,sexism,-,['-']
sod,,openly_discriminating,homophobia,-,['-']
spic,,openly_discriminating,xenophobia,-,['-']
spick,,openly_discriminating,xenophobia,-,['-']
spig,,openly_discriminating,xenophobia,-,['-']
spik,,openly_discriminating,xenophobia,-,['-']
squaw,,openly_discriminating,racism,-,['-']
supercrip,1,openly_discriminating,ableism,-,['-']
switch-hitter,,openly_discriminating,homophobia,-,['-']
switchhitter,,openly_discriminating,homophobia,-,['-']
taco-head,,openly_discriminating,xenophobia,-,['-']
tacohead,,openly_discriminating,xenophobia,-,['-']
thicklips,,openly_discriminating,racism,-,['-']
tranny,,openly_discriminating,transphobia,-,['-']
transbian,,openly_discriminating,transphobia,-,['-']
twat,,openly_discriminating,sexism,-,['-']
twink,,openly_discriminating,homophobia,-,['-']
twinkie,,openly_discriminating,racism,-,['-']
virago,,openly_discriminating,sexism,-,['-']
wacko,1,openly_discriminating,ableism,-,['-']
wetback,,openly_discriminating,xenophobia,-,['-']
whitey,,openly_discriminating,racism,-,['-']
whore,,openly_discriminating,sexism,-,['-']
woofter,,openly_discriminating,homophobia,-,['-']
woolly,,openly_discriminating,homophobia,-,['-']
yank,,openly_discriminating,xenophobia,-,['-']
yankee,,openly_discriminating,xenophobia,-,['-']
yid,,openly_discriminating,antisemitism,-,['-']
